time[s],SAS[V],FWM[V]
-1.065104165932,-0.00101796,0.0278613
-1.064453124265,-0.000992839,0.0279869
-1.063802082598,-0.00101796,0.0281126
-1.0631510409309999,-0.000980276,0.0282382
-1.0624999992639999,-0.0010054,0.0282382
-1.0618489575969998,-0.00103053,0.0283638
-1.06119791593,-0.000980276,0.0283638
-1.060546874263,-0.0010054,0.0286151
-1.059895832596,-0.00103053,0.0287407
-1.059244790929,-0.0010054,0.0288663
-1.058593749262,-0.000980276,0.0288663
-1.0579427075949999,-0.000992839,0.028992
-1.0572916659279998,-0.00104309,0.0291176
-1.056640624261,-0.000992839,0.0291176
-1.055989582594,-0.00101796,0.0292432
-1.055338540927,-0.0010054,0.0292432
-1.05468749926,-0.000955151,0.0293688
-1.054036457593,-0.000992839,0.0294945
-1.0533854159259999,-0.000980276,0.0296201
-1.0527343742589998,-0.000967714,0.0297457
-1.0520833325919998,-0.000980276,0.0298714
-1.051432290925,-0.0010054,0.029997
-1.050781249258,-0.0010054,0.029997
-1.050130207591,-0.000955151,0.0301226
-1.049479165924,-0.000980276,0.0302482
-1.048828124257,-0.000955151,0.0303739
-1.0481770825899999,-0.000930025,0.0304995
-1.0475260409229998,-0.000980276,0.0304995
-1.046874999256,-0.0010054,0.0307508
-1.046223957589,-0.000942588,0.0307508
-1.045572915922,-0.000980276,0.0308764
-1.044921874255,-0.00101796,0.0308764
-1.044270832588,-0.000967714,0.031002
-1.0436197909209999,-0.0010054,0.0312533
-1.0429687492539998,-0.0010054,0.0312533
-1.0423177075869998,-0.000992839,0.0313789
-1.04166666592,-0.000967714,0.0313789
-1.041015624253,-0.00104309,0.0315045
-1.040364582586,-0.00104309,0.0316302
-1.039713540919,-0.000967714,0.0316302
-1.039062499252,-0.0010054,0.0317558
-1.0384114575849999,-0.00101796,0.0318814
-1.0377604159179998,-0.000992839,0.032007
-1.037109374251,-0.00101796,0.032007
-1.036458332584,-0.00104309,0.0321327
-1.035807290917,-0.000980276,0.0322583
-1.03515624925,-0.0010054,0.0322583
-1.034505207583,-0.00103053,0.0325095
-1.0338541659159999,-0.000992839,0.0325095
-1.0332031242489998,-0.000992839,0.0326352
-1.0325520825819998,-0.00101796,0.0327608
-1.031901040915,-0.0010054,0.0327608
-1.031249999248,-0.000980276,0.0330121
-1.030598957581,-0.00101796,0.0328864
-1.029947915914,-0.0010054,0.0331377
-1.029296874247,-0.000992839,0.0332633
-1.0286458325799999,-0.00101796,0.0332633
-1.0279947909129998,-0.000980276,0.0333889
-1.027343749246,-0.000967714,0.0333889
-1.026692707579,-0.000992839,0.0336402
-1.026041665912,-0.00108078,0.0337658
-1.025390624245,-0.000967714,0.0337658
-1.024739582578,-0.000992839,0.0338915
-1.0240885409109999,-0.00101796,0.0338915
-1.0234374992439998,-0.000980276,0.0341427
-1.0227864575769998,-0.000980276,0.0341427
-1.02213541591,-0.000967714,0.0342683
-1.021484374243,-0.000967714,0.034394
-1.020833332576,-0.000992839,0.034394
-1.020182290909,-0.00104309,0.0346452
-1.019531249242,-0.00104309,0.0345196
-1.0188802075749999,-0.000980276,0.0346452
-1.0182291659079998,-0.00101796,0.0348965
-1.017578124241,-0.00104309,0.0348965
-1.016927082574,-0.00101796,0.0350221
-1.016276040907,-0.000980276,0.0350221
-1.01562499924,-0.000992839,0.0351477
-1.014973957573,-0.000955151,0.0352734
-1.0143229159059999,-0.000955151,0.035399
-1.0136718742389998,-0.000992839,0.035399
-1.0130208325719998,-0.000967714,0.0355246
-1.012369790905,-0.000992839,0.0355246
-1.011718749238,-0.000955151,0.0356502
-1.011067707571,-0.000955151,0.0357759
-1.010416665904,-0.000967714,0.0359015
-1.009765624237,-0.000967714,0.0359015
